"Library","analysis","date","description","perfomed_by","samples"
12,"WES","6/28/2022","Validazione WB","imtc","dg1501;dg1508;dg1525;dg1530;dg1531;dg1538;dg1544;dg1548;dg1554;dg1559;dg1569;dg1572;dg1574;dg1575;dg1576;dg1578;dg1579;dg1580;dg1581;dg1590;dg1594;dg1598;dg1599;dg1602"
13,"WES","6/30/2022","Validazione WB + EM","imtc","dg1607;dg1611;dg1620;dg1628;dg1631;dg1632;dg1633;dg1637;dg1638;dg1641;dg1642;dg1643;dg1471;dg1472;dg1473;dg1476;dg1477;dg1492;dg1494;EM58;EM88;EM96;EM201;EM203"
14,"WES","7/15/2022","EM","imtc","EM059;EM067;EM077;EM078;EM096;EM097;EM098;EM099;EM100;EM101;EM102;EM103;EM104;EM105;EM106;EM107;EM108;EM109;EM110;EM111;EM112;EM113;EM114;EM115"
15,"WES",,"EM + Auto Ab","imtc","BrDg1994;BrDg1973;BrDg2049;BrDg1941;BrDg2037;BrDg1949;BrDg2059;BrDg2071;BrDg1933;BrDg2070;BrDg1987;EM215;EM224;EM225;EM229;EM218;EM219;EM226;EM227;EM228;EM206;EM207;EM060;EM092"
16,"RNAseq","8/18/2022","Pre-Post abl","imtc","Dg1844 (Pz909);PA1738 (Pz909);Dg1716 (Pz865);PA1611 (Pz865);Dg1892 (Pz931);PA1841 (PZ931);Dg1910 (Pz934);PA1839 (Pz934);Dg1891 (Pz946);PA1831 (Pz946);Dg1928 (Pz943);PA1826 (Pz943);Dg1789 (Pz941);PA1824 (Pz941);Dg1780 (Pz893);PA1810 (Pz893);Dg1936 (Pz938);PA1799 (Pz938);Dg1929 (Pz942);PA1798 (Pz942);Dg1497 (Pz825);PA1485 (Pz825);Dg1805 (Pz930);PA1783 (Pz930);Dg1799 (Pz925);PA1778 (Pz925);Dg1859 (Pz919);PA1768 (Pz919);Dg1782 (Pz900);PA1757 (Pz900);Dg1806 (Pz906);PA1749 (Pz906);Dg1695 (Pz850);PA1587 (Pz850);Dg1701 (Pz862);PA1632 (Pz862);Dg1544 (Pz793);PA1380 (Pz793);Dg1455 (Pz764);PA1385 (Pz764);Dg1494 (Pz781);PA1415 (Pz781);Dg1555 (Pz785);PA1433 (Pz785);Dg1531 (Pz787);PA1444 (Pz787);Dg1525 (Pz794);PA1452 (Pz794)"
17,"WES","9/20/2022","EM","imtc","EM271;EM272;EM273;EM274;EM275;EM276;EM277;EM278;EM279;EM280;EM281;EM282;EM283;EM284;EM285;EM286;EM287;EM288;EM289;BrDg1474;BrDg1475;BrDg1487;BrDg1488;BrDg1496"
18,"WES","10/1/2022","EM","imtc","EM308;EM309;EM310;EM311;BrDg1606;BrDg1641 ;EM312;EM313;EM314;EM315;EM316;EM317;EM318;EM319;EM320;BrDg2066;EM321;EM322;EM323;BrDg1656 ;EM326;EM327;EM328;EM329"
19,"RNAseq","11/18/2022","Pre-Post abl + HEK","imtc","BrDg1723-Pz845;BrPA1598-Pz845;BrDg1691-Pz849;BrPA1576-Pz849;BrDg1902-Pz936;BrPA1844-Pz936;BrDg1911-Pz939;BrPA1882-Pz939;BrDg1943-Pz951;BrPA1874-Pz951;BrDg1947-Pz952;BrPA1873-Pz952;BrDg1948-Pz954;BrPA1846-Pz954;BrDg1949-Pz957;BrPA1842-Pz957;BrDg1958-Pz960;BrPA1872-Pz960;BrDg1967-Pz963;BrPA1849-Pz963;BrDg1975-Pz964;BrPA1925-Pz964;BrDg1973-Pz965;BrPA1926-Pz965;BrDg1965-Pz966;BrPA1901-Pz966;BrDg1974-Pz967;BrPA1924-Pz967;BrDg2049-Pz968;BrPA1886-Pz968;BrDg2050-Pz969;BrPA1885-Pz969;BrDg1981-Pz970;BrPA1931-Pz970;BrDg1982-Pz974;BrPA1930-Pz974;BrDg2013-Pz988;BrPA1927-Pz988;HEK-C-1;HEK-C-2;HEK-C-3;HEK-P-1;HEK-P-2;HEK-P-3;HEK-S-1;HEK-S-2;HEK-S-3;"
20,"WES","11/24/2022","EM + Ricorsi (hg19/hg38)","imtc","EM330;EM339;EM340;EM364;EM390;EM391;EM400;EM417;EM418;EM419;EM420;EM421;EM424;EM425;EM426;Dg1933;Dg1941;Dg1949;Dg1641;PA560;Dg328;Dg147;Dg212;PA415"
21,"WES","12/14/2022","EM (hg38)","imtc","EM178;EM179;EM180;EM297;EM386;EM387;EM388;EM389;EM422;EM423;EM431;EM435;EM441;EM442;EM443;EM444;EM445;EM446;EM447;EM448;EM449;EM450;EM451;EM452"
22,"RNAseq","1/18/2023","Pz + CT + iCM ","imtc","Dg1456;Dg1462;Dg1464;Dg1467;Dg1468;Dg1469;Dg1458;Dg1474;Dg1475;Dg1478;Dg1479;Dg1480;Dg1482;Dg1483;Dg1484;Dg1485;Dg1486;Dg1488;Dg1489;Dg1490;Dg1491;Dg1493;Dg1495;Dg1496;Dg1498;Dg1499;Dg1500;Dg1503;Dg1505;Dg1509;Dg1511;Dg1513;Dg1514;Dg1515;Dg1516;Dg1517;PNG-1;PNG-2;PNG-3;PNG-4;SIA-1;SIA-2;SIA-3;SIA-4;CT-1;CT-2;CT-3;CT-4"
23,"WES","1/27/2023","EM","imtc","EM299;EM453;EM454;EM458;EM459;EM460;EM466;EM467;EM468;EM470;EM476;EM477;EM485;EM486;EM487;EM489;EM490;EM491;EM492;EM493;EM494;EM495;EM496;EM497"
24,"WES","2/7/2023","Br-Dg + Br-PA + EM","imtc","BrDg2201;BrDg2228;BrDg2240;BrDg2309;BrDg2414;BrDg2417;BrDg2418;Brdg2305;BrDg2390;BrDg2410;BrDg2471;EM475;EM501;EM505;EM507;EM508;EM509;EM510;EM511;BrDg2420;BrPA1836;BrPA1652 ;BrPA533 ;BrDg1712"
25,"WES","2/14/2023","Br-Dg + Br-PA + EM","imtc","EM051;EM523;EM524;EM525;EM518;EM526;BrDg75;BrPA743(Pz185);CT XCVII;BrDg651(Pz514);Dg2414;Dg2415;Dg2418;Dg2420;Dg2302;Dg2309;Dg2323;Dg2332;Dg2360;Dg2363;Dg2408;Dg2409;Dg2416;Dg2417"
26,"RNAseq","3/2/2023","Pz + CT + (Pz + CT Campioni massa) IMTC_3","imtc","DG2045;DG2046;DG2066;DG2076;DG2142;DG2148;DG2150;DG2151;DG2152;DG2153;DG2154;DG2159;DG2160;DG2161;DG2162;DG2163;DG2166;DG2169;DG2177;DG2178;DG2179;DG2181;DG2182;DG2183;DG2187;DG2190;DG2419;DG2421;DG2422;DG2423;DG2424;DG2425;DG2460;DG2461;DG2462;DG2463;DG2464;DG2465;DG2466;DG2467;DG2469;DG2471;DG2470;DG2472;DG2473;DG2475;DG2476;DG2477"
27,"RNAseq","3/14/2023","Pz + CT + (Pz + CT Campioni massa) IMTC_4","imtc","DG2027;DG2028;DG2030;DG2034;DG2035;DG2038;DG2039;DG2040;DG2042;DG2044;DG2052;DG2058;DG2061;DG2063;DG2085;DG2143;DG2156;DG2157;DG2167;DG2170;DG2172;DG2173;DG2184;DG2185;DG2186;BrDg2115 (Pz1004);BrDg2231 (Pz1070);BrDg2235 (Pz1046);Dg2019;Dg2020;BrDg2037;BrDg2059;BrDg1862;BrDg1716 (Pz865);BrDg1076;BrDg2274 (Pz1067);BrDg1887 (Pz944);BrDg2406;BrDg1933;dg1969;BrDg1987;Dg1988;Dg1989;BrDg1994;Dg1999;Dg2008;BrDg2070;BrDg2071"
28,"RNAseq","3/29/2023","Pz + Adriana + Alessia + Vasco","imtc","M0-a-2-10ng;M0-b-2-10ng;M0-c-2-10ng;M1-1-10ng;M1-2-10ng;M1-3-10ng;M2-1-10ng;M2-2-10ng;M2-3-10ng;M0-a-2;M0-b-2;M0-c-2;M1-1;M1-2;M1-3;M2-1;M2-2;M2-3;LIPO-1;LIPO-3;LIPO-DNA-1;LIPO-DNA-3;DG1489FIL;DG1672FIL;DG1751FIL;DG1760FIL;DG1793FIL;DG1820FIL;DG2011FIL;DG2012FIL;DG2013FIL;DG1489;DG1672;DG1751;DG1760;DG1793;DG1816;DG1820;DG2011;DG2013;4D-1;4D-2;4D-3;4D-4;PC-1;PC-2;PC-3;PC-4"
29,"WES","4/14/2023","EM + Br-Dg (BrS + CT)","imtc","EM052;EM054;EM057;EM061;EM064;EM080;EM120;EM124;EM126;EM145;EM242;EM246;EM250;EM292;EM331;EM332;EM347;EM351;EM399;EM534;EM535;EM536;BrDg1804;BrDg1983"
30,"WES","4/30/2023","EM + Br-Dg (BrS + CT)","imtc","EM181;BrDg2178;BrDg2271;BrDg2292 ;BrDg2304;EM303;BrDg2322;EM395;BrDg2415 ;EM472;EM593;EM504;EM595;BrDg2522;BrDg2525;BrDg2527;BrDg2531;BrDg2542;BrDg2546;BrDg2549;BrDg2553;BrDg2558;BrDg2563;BrDg2565"
31,"WES","5/12/2023","EM + Br-Dg ","imtc","EM138;EM214;EM499;EM531;EM532;EM533;EM537;EM588;EM598;EM599;EM606;EM607;EM610;EM617;EM618;EM619;EM621;EM622;EM623;BrDg2340;BrDg2358 ;BrDg2449;BrDg2450;BrDg2536"
32,"WES","5/12/2023","EM + Br-Dg ","imtc","BrDg1799;BrDg1836;BrDg1841;BrDg1911;BrDg2102;DG2021;dg2054;dg2058;dg2061;dg2075;dg2247;dg2298;dg2388;dg2507;dg2512;dg2533;dg2561;EM548;EM556;EM571;EM643;EM646;EM647;EM648"
33,"RNAseq","6/9/2023","Pz + CT + Adriana + Marco P + Vasco","imtc","LIB002-M0;LIB002-M1;LIB002-M2;CRY003-M0;CRY003-M1;CRY003-M2;CRY006-M0;CRY006-M1;CRY006-M2;AC16-CTRL-1;AC16-CTRL-2;AC16-CTRL-3;AC16-12h-Ischemia-1;AC16-12h-Ischemia-2;AC16-12h-Ischemia-3;AC16-12h-Ischemia-Doxy-1;AC16-12h-Ischemia-Doxy-2;AC16-12h-Ischemia-Doxy-3;AC16-1h-IR-1;AC16-1h-IR-2;AC16-1h-IR-3;AC16-1h-IR-Doxy-1;AC16-1h-IR-Doxy-2;AC16-1h-IR-Doxy-3;AC16-6h-IR-1;AC16-6h-IR-2;AC16-6h-IR-3;AC16-6h-IR-Doxy-1;AC16-6h-IR-Doxy-2;AC16-6h-IR-Doxy-3;AC16-CTRL-Doxy-1;AC16-CTRL-Doxy-2;AC16-CTRL-Doxy-3;dg2631;dg2634;dg2298;dg2507;dg2512;dg2533;dg2535;dg2561;Dg2627;Dg2628;Dg2629;Dg2630;Dg2632;Dg2633;Dg2635"
34,"RNAseq","7/7/2023","Pz + CT IMTC_5","imtc","BrDg2339;BrDg2340;BrDg2358 ;BrDg2415 ;BrDg2451;BrDg2483;BrDg2492 ;BrDg2498 ;BrDg2503;BrDg2506 ;BrDg2520;BrDg2526;BrDg2536;BrDg2538;BrDg2578;BrDg2580;BrDg2589;BrDg2594;BrDg2615;BrDg2619;BrDg2641;BrDg2646;BrDg2647;BrDg2684;BrDg2548;BrDg2549;BrDg2553;BrDg2558;BrDg2563;BrDg2564;BrDg2565;BrDg2567;BrDg2568;BrDg2569;BrDg2582;BrDg2585;BrDg2590;BrDg2593;BrDg2596;BrDg2600;BrDg2602;BrDg2603;BrDg2604;BrDg2606;BrDg2607;BrDg2614;BrDg2618;BrDg2626"
35,"WES","7/17/2023","EM","imtc","EM338;EM343;EM373;EM402;EM540;EM611;EM612;EM613;EM614;EM635;EM638;EM668;EM669;EM670;EM671;EM679;EM680;EM688;EM694;EM696;EM697;EM698;EM699;EM703"
