84,-56,-529,-473,293,208,-501,-506,-1600,-1533,-1513,-1166,-660
85,-86,-540,-453,313,182,-497,-466,-1520,-1480,-1480,-1160,-693
86,-106,-556,-449,332,170,-502,-433,-1440,-1426,-1440,-1146,-680
87,-126,-566,-440,346,156,-504,-386,-1373,-1386,-1413,-1133,-693
88,-166,-569,-402,368,117,-486,-353,-1306,-1326,-1373,-1106,-713
89,-186,-573,-386,380,100,-480,-320,-1253,-1266,-1333,-1080,-720
90,-193,-566,-373,380,89,-470,-313,-1186,-1226,-1273,-1046,-693
91,-193,-560,-366,377,86,-464,-306,-1133,-1173,-1213,-986,-666
92,-173,-520,-346,346,86,-433,-293,-1060,-1120,-1146,-946,-626
93,-160,-486,-326,324,82,-406,-293,-986,-1066,-1080,-880,-586
94,-160,-462,-302,312,70,-382,-286,-926,-1006,-1020,-833,-540
95,-160,-440,-280,300,60,-360,-266,-866,-946,-960,-773,-520
96,-137,-436,-298,286,80,-368,-253,-826,-933,-920,-746,-506
97,-120,-433,-313,277,96,-373,-240,-773,-906,-893,-720,-493
98,-117,-424,-306,270,94,-365,-246,-733,-853,-853,-693,-466
99,-106,-413,-306,260,100,-360,-240,-693,-826,-800,-666,-453
100,-96,-396,-300,246,101,-348,-253,-646,-786,-760,-626,-426
101,-100,-380,-280,240,89,-330,-253,-600,-733,-706,-586,-413
102,-106,-366,-260,237,76,-313,-213,-546,-666,-660,-540,-386
103,-100,-360,-260,230,80,-310,-186,-506,-626,-613,-506,-373
104,-96,-346,-250,221,77,-298,-173,-480,-600,-600,-493,-360
105,-100,-340,-240,220,69,-290,-146,-440,-560,-560,-466,-346
106,-89,-322,-233,206,72,-278,-133,-393,-533,-533,-446,-340
107,-80,-300,-220,190,69,-260,-120,-360,-493,-506,-426,-333
108,-77,-266,-189,172,56,-228,-93,-340,-460,-466,-393,-306
109,-66,-246,-180,157,56,-213,-80,-306,-426,-440,-373,-293
110,-56,-220,-164,138,53,-192,-66,-266,-366,-393,-346,-266
111,-46,-200,-153,124,53,-177,-26,-226,-333,-360,-320,-253
112,-49,-173,-124,112,37,-149,-6,-180,-306,-326,-286,-233
113,-46,-160,-113,104,33,-137,13,-146,-266,-280,-253,-213
114,-42,-140,-97,92,26,-118,33,-106,-246,-253,-240,-200
115,-40,-120,-80,80,20,-100,53,-80,-213,-226,-213,-186
116,-10,-109,-98,60,44,-104,60,-60,-206,-206,-200,-173
117,6,-100,-106,46,56,-104,80,-53,-186,-186,-186,-160
118,6,-80,-86,37,46,-84,66,-26,-160,-180,-160,-160
119,20,-66,-86,24,53,-77,66,-13,-133,-160,-146,-146
120,13,-60,-73,24,42,-66,73,-6,-120,-140,-140,-133
121,13,-46,-60,17,36,-53,80,0,-93,-120,-133,-133
122,13,-33,-46,10,29,-40,80,6,-73,-106,-113,-120
123,6,-20,-26,6,16,-24,80,13,-53,-93,-106,-120
124,10,-6,-17,-1,13,-12,86,6,-40,-73,-93,-106
125,6,6,0,-6,2,2,93,13,-26,-53,-80,-106
126,6,20,13,-13,-4,16,80,13,-13,-53,-80,-93
127,6,26,20,-16,-6,22,80,13,-13,-40,-66,-93
128,6,33,26,-20,-10,29,73,20,0,-40,-66,-80
129,13,40,26,-26,-6,33,66,26,0,-26,-53,-80
130,10,49,38,-29,-14,44,66,26,13,-26,-53,-80
131,13,60,46,-36,-17,53,53,26,13,-13,-53,-66
132,13,66,53,-40,-20,60,46,60,6,-20,-33,-60
133,13,73,60,-42,-24,66,40,80,13,-13,-26,-53
134,10,73,62,-41,-26,68,46,86,6,-6,-26,-40
135,6,80,73,-42,-33,76,40,106,13,0,-26,-53
136,16,82,66,-49,-25,74,40,93,13,-6,-26,-33
137,20,80,60,-49,-20,69,40,93,13,-13,-26,-40
138,13,80,66,-46,-26,73,46,93,20,0,-33,-33
139,20,86,66,-53,-24,76,53,93,40,0,-26,-53
140,20,89,69,-54,-25,78,46,86,40,0,-26,-33
141,20,100,80,-60,-30,89,53,93,40,13,-26,-40
142,20,100,80,-60,-30,89,60,93,53,13,-26,-26
143,20,100,80,-60,-30,89,66,93,66,13,-26,-26
144,20,106,86,-62,-33,96,53,113,53,26,-13,-20
145,20,113,93,-66,-37,102,66,106,66,26,-13,-13
146,17,116,98,-66,-41,106,53,106,66,40,-13,-20
147,13,120,106,-66,-46,113,53,120,66,53,0,-13
148,6,124,117,-65,-56,120,53,100,80,46,0,-6
149,0,120,120,-60,-60,120,53,106,80,53,0,0
150,9,122,113,-65,-52,117,53,106,86,53,6,0
151,6,126,120,-66,-57,122,53,106,93,53,13,0
152,9,126,117,-68,-54,121,40,106,86,53,6,-6
153,13,126,113,-69,-50,120,40,106,80,66,0,0
154,20,124,104,-72,-42,113,46,106,80,66,13,0
155,20,126,106,-73,-44,116,40,106,80,66,13,0
156,20,120,100,-69,-40,109,46,113,100,66,13,0
157,26,120,93,-73,-33,106,53,106,93,66,13,0
158,24,120,96,-72,-36,108,46,113,86,66,13,0
159,20,120,100,-69,-40,109,40,120,93,66,13,0
160,29,120,90,-74,-30,105,53,120,93,73,26,0
161,26,120,93,-73,-33,106,53,106,93,66,26,0
162,17,113,96,-65,-40,104,53,126,100,66,26,-13
163,13,113,100,-62,-44,106,53,133,106,66,40,-13
164,6,120,113,-62,-53,116,53,133,120,80,46,-6
165,6,120,113,-62,-53,116,53,133,120,80,53,0
166,10,116,105,-62,-48,110,60,146,120,86,46,-6
167,0,120,120,-60,-60,120,66,160,120,93,53,0
168,4,126,122,-65,-60,124,46,160,120,86,53,-6
169,6,126,120,-66,-57,122,53,160,120,93,53,-13
170,0,133,133,-66,-66,133,53,153,120,93,53,0
171,0,126,126,-62,-64,126,53,146,120,93,66,0
172,6,140,133,-73,-64,136,60,160,120,100,73,6
173,6,146,140,-76,-66,142,53,160,120,106,80,13
174,9,142,133,-76,-62,137,53,153,120,100,73,13
175,13,146,133,-80,-60,140,53,160,120,106,80,13
176,10,140,129,-74,-60,134,46,153,133,106,80,13
177,6,133,126,-69,-60,129,40,146,133,106,80,13
178,16,136,120,-76,-52,128,40,166,140,113,86,6
179,13,140,126,-76,-57,133,40,173,146,120,93,13
180,13,136,122,-74,-54,129,33,173,133,120,86,13
181,13,140,126,-76,-57,133,26,186,133,120,80,13
182,10,133,122,-72,-56,128,46,200,146,133,100,20
183,6,133,126,-69,-60,129,53,213,146,133,106,40
184,13,140,126,-76,-57,133,53,213,146,146,100,40
185,13,140,126,-76,-57,133,53,213,146,146,106,40
186,13,146,133,-80,-60,140,53,200,146,140,106,33
187,20,146,126,-82,-53,136,53,200,160,133,106,40
188,13,146,133,-80,-60,140,53,193,160,146,106,40
189,13,146,133,-80,-60,140,53,186,160,146,106,40
190,13,140,126,-76,-57,133,53,186,146,133,106,46
191,20,140,120,-80,-50,129,53,186,160,133,106,53
192,10,144,133,-77,-61,138,60,213,166,133,106,60
193,6,140,133,-73,-64,136,66,226,173,146,120,66
194,13,149,136,-81,-61,142,73,233,173,146,126,60
195,6,146,140,-76,-66,142,53,240,173,146,133,66
196,16,149,133,-82,-58,141,66,233,173,160,133,73
197,20,146,126,-82,-53,136,53,226,173,160,133,66
198,22,146,124,-84,-50,134,53,246,173,160,133,66
199,26,146,120,-86,-46,133,53,253,173,160,133,66
200,30,144,113,-86,-41,128,40,240,186,166,140,73
201,26,140,113,-82,-44,126,40,240,173,173,133,66
202,24,137,113,-80,-45,125,40,240,186,166,133,73
203,20,140,120,-80,-50,129,40,253,186,160,133,80
204,26,140,113,-82,-44,126,33,260,186,173,133,73
205,26,140,113,-82,-44,126,40,266,186,173,146,80
206,22,146,124,-84,-50,134,40,273,200,173,153,86
207,26,146,120,-86,-46,133,40,280,200,186,160,93
208,33,149,116,-90,-41,132,46,266,200,193,153,86
209,40,153,113,-96,-37,133,66,253,200,200,146,80
210,40,160,120,-100,-40,140,86,266,206,200,153,86
211,40,166,126,-102,-44,146,93,266,226,200,160,93
212,40,164,124,-101,-42,144,93,260,226,213,173,86
213,40,166,126,-102,-44,146,106,253,226,213,173,93
214,26,160,133,-93,-53,146,86,273,226,213,173,93
215,33,160,126,-96,-46,142,80,280,226,213,173,93
216,33,162,129,-97,-48,145,93,286,240,213,173,106
217,40,160,120,-100,-40,140,93,293,240,213,173,106
218,40,160,120,-100,-40,140,93,313,240,233,186,106
219,40,160,120,-100,-40,140,93,320,240,240,186,106
220,44,157,113,-100,-34,134,100,320,253,240,186,106
221,40,153,113,-96,-37,133,106,320,253,240,186,106
222,46,157,110,-101,-32,133,106,333,253,246,193,120
223,46,153,106,-100,-30,129,106,333,266,266,200,120
224,44,150,106,-97,-32,128,106,340,246,246,200,120
